@relation Airport-weka.filters.unsupervised.attribute.Remove-R4

@attribute Numerical_1 numeric
@attribute Numerical_2 numeric
@attribute Country{EU,AL,AT,AX,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FO,FR,GB,GG,GI,GR,HR,HU,IE,IM,IS,IT,JE,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,RU,SE,SI,SJ,SK,TR,UA,XK,AS,AE,AF,AM,AZ,BD,BH,BN,BT,CC,CN,CX,CY,GE,HK,ID,IL,IN,IO,IQ,IR,JO,JP,KG,KH,KP,KR,KW,KZ,LA,LB,LK,MM,MN,MO,MY,NP,OM,PH,PK,PS,QA,SA,SG,SY,TH,TJ,TL,TM,TW,UZ,VN,YE,NAC,AG,AI,AW,BB,BL,BS,BQ,BZ,CA,CR,CU,DM,DO,GD,GL,GP,GT,HN,HT,JM,KN,KY,LC,MF,MQ,MS,MX,NI,PA,PR,SV,TC,TT,US,VC,VG,VI,AO,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DJ,DZ,EG,EH,ER,ET,GA,GH,GM,GN,GQ,GW,KE,KM,LR,LS,LY,MA,MG,ML,MR,MU,MW,MZ,NA,NE,NG,RE,RW,SC,SD,SH,SL,SN,SO,SS,ST,SZ,TD,TG,TN,TZ,UG,ZA,ZM,ZW,AN,AQ,GS,SAC,AR,BO,BR,CL,CO,EC,FK,GF,GY,PE,PY,SR,UY,VE,OC,AU,CK,FJ,FM,GU,KI,MH,MP,NC,NF,NR,NU,NZ,PF,PG,PW,SB,TO,TV,UM,VU,WF,WS,UKNC,UKN}
@attribute Altitude numeric
@attribute Timezone numeric
@attribute DST {U,E,N,A,S,O,Z}

@data
46.791111,-71.393333,CA,244,-5,A
52.182222,-113.894444,CA,2968,-7,A
42.275556,-82.955556,CA,622,-5,A
60.116389,-128.8225,CA,2255,-8,A
49.788334,-94.363056,CA,1332,-6,A
49.630278,-112.799722,CA,3047,-7,A
46.112221,-64.678611,CA,232,-4,A
49.710833,-124.886667,CA,84,-8,A
50.431944,-104.665833,CA,1894,-6,N
48.371944,-89.323889,CA,653,-5,A
55.179722,-118.885,CA,2195,-7,A
51.264721,-102.461667,CA,1635,-6,N
52.769167,-108.24361,CA,1799,-6,N
48.936944,-54.568056,CA,496,-3.5,A
46.161388,-60.047779,CA,203,-4,A
53.026112,-122.510278,CA,1789,-8,A
74.716944,-94.969444,CA,215,-6,A
47.764444,-69.584722,CA,427,-5,A
48.52,-72.265556,CA,586,-5,A
52.429722,-114.904167,CA,3244,-7,A
62.81139,-92.115833,CA,94,-6,A
46.625,-80.798889,CA,1141,-5,A
45.438611,-71.691389,CA,792,-5,A
45.316111,-65.890278,CA,357,-4,A
60.020278,-111.961944,CA,671,-7,A
72.982222,-84.613611,CA,2106,-5,A
46.440556,-63.833611,CA,56,-4,A
71.993889,-125.2425,CA,282,-7,A
64.23,-76.526667,CA,164,-5,A
55.801111,-97.864166,CA,729,-6,A
44.118889,-77.528056,CA,283,-5,A
48.569721,-81.376667,CA,967,-5,A
43.627499,-79.396167,CA,251,-5,A
69.433334,-133.026389,CA,15,-7,A
45.470556,-73.740833,CA,118,-5,A
66.521389,-86.224722,CA,80,-6,A
68.776111,-81.243611,CA,27,-5,A
48.206111,-78.835556,CA,988,-5,A
55.15139,-105.261944,CA,1242,-6,N
53.355833,-110.82389,CA,2025,-7,A
67.545833,-64.031389,UKN,21,-5,A
48.053333,-77.782778,CA,1107,-5,A
58.096111,-68.426944,CA,129,-5,A
65.281617,-126.798219,CA,238,-7,A
49.193889,-123.184444,CA,14,-8,A
55.841944,-108.4175,CA,1444,-6,N
44.745834,-81.107222,CA,729,-5,A
45.952221,-77.319168,CA,427,-5,A
49.910036,-97.239886,CA,783,-6,A
52.921944,-66.864444,CA,1808,-4,A
52.183056,-122.054167,CA,3085,-8,A
63.209444,-123.436667,CA,489,-7,A
49.612222,-115.781944,CA,3084,-7,A
53.5725,-113.520556,CA,2200,-7,A
52.170834,-106.699722,CA,1653,-6,N
50.01889,-110.720833,CA,2352,-7,A
56.238056,-120.740278,CA,2280,-7,A
50.113889,-91.905278,CA,1258,-6,A
66.145,-65.713611,UKN,75,-5,A
47.695,-79.848889,CA,798,-5,A
53.889444,-122.678889,CA,2267,-8,A
54.468508,-128.576219,CA,713,-8,A
43.033056,-81.151111,CA,912,-5,A
49.025278,-122.360556,CA,195,-8,A
60.709553,-135.067269,CA,2317,-8,A
46.363611,-79.422778,CA,1215,-5,A
51.113888,-114.020278,CA,3557,-7,A
54.824722,-127.182778,CA,1712,-8,A
58.836389,-122.596944,CA,1253,-8,A
49.463056,-119.602222,CA,1129,-8,A
46.290001,-63.121111,CA,160,-4,A
69.546667,-93.576667,CA,92,-7,A
48.646944,-123.425833,CA,63,-8,A
56.863888,-101.07611,CA,1170,-6,A
50.291944,-107.690556,CA,2680,-6,N
58.739167,-94.065,CA,94,-6,A
53.319168,-60.425833,CA,160,-4,A
47.61861,-52.751945,CA,461,-3.5,A
49.413889,-82.4675,CA,743,-5,A
50.290279,-88.909721,CA,1058,-5,A
48.608612,-68.208056,CA,172,-5,A
43.677223,-79.630556,CA,569,-5,A
43.7425,-79.465556,CA,652,-5,A
45.885277,-82.567778,CA,635,-5,A
62.462778,-114.440278,CA,675,-7,A
55.293056,-114.777222,CA,1912,-7,A
53.254333,-131.813833,CA,21,-8,A
42.999444,-82.308889,CA,594,-5,A
50.680556,-127.366667,CA,71,-8,A
54.14389,-115.786667,CA,2567,-7,A
50.223333,-66.265556,CA,180,-5,A
60.172779,-132.742778,CA,2313,-8,A
44.984444,-64.916944,CA,92,-4,A
62.2075,-133.375833,CA,2351,-8,A
67.4075,-134.860556,CA,116,-7,A
36.503613,2.814167,DZ,535,1,N
35.3325,4.206389,DZ,1506,1,N
36.711997,5.069922,DZ,20,1,N
36.691014,3.215408,DZ,82,1,N
24.292767,9.452444,DZ,3176,1,N
36.545834,2.876111,DZ,335,1,N
26.710103,0.285647,DZ,955,1,N
26.723536,8.622653,DZ,1778,1,N
35.525414,2.878714,DZ,2132,1,N
22.811461,5.451075,DZ,4518,1,N
36.795136,5.873608,DZ,36,1,N
33.535853,-0.242353,DZ,3855,1,N
35.752239,0.626272,DZ,282,1,N
36.822225,7.809167,DZ,16,1,N
36.276028,6.620386,DZ,2265,1,N
35.431611,8.120717,DZ,2661,1,N
32.930431,3.311542,DZ,2540,1,N
35.341136,1.463147,DZ,3245,1,N
35.735389,-0.805389,DZ,187,1,N
27.700372,-8.167103,DZ,1453,1,N
36.212658,1.331775,DZ,463,1,N
35.542444,-0.532278,DZ,367,1,N
35.016667,-1.45,DZ,814,1,N
35.623858,-0.621183,DZ,295,1,N
35.171775,-0.593275,DZ,1614,1,N
35.207725,0.147142,DZ,1686,1,N
27.837589,-0.186414,DZ,919,1,N
34.793289,5.738231,DZ,289,1,N
30.571294,2.859586,DZ,1306,1,N
32.384106,3.794114,DZ,1512,1,N
31.672972,6.140444,DZ,463,1,N
27.251022,2.512017,DZ,896,1,N
33.067803,6.088672,DZ,279,1,N
33.764383,2.928344,DZ,2510,1,N
29.237119,0.276033,DZ,1027,1,N
31.917223,5.412778,DZ,492,1,N
28.05155,9.642911,DZ,1847,1,N
6.357228,2.384353,BJ,19,1,N
12.353194,-1.512417,BF,1037,0,N
11.160056,-4.330969,BF,1511,0,N
5.605186,-0.166786,GH,205,0,N
9.557192,-0.863214,GH,553,0,N
10.082664,-2.507694,GH,1060,0,N
7.361828,-2.328756,GH,1014,0,N
4.896056,-1.774756,GH,21,0,N
5.261386,-3.926294,CI,21,0,N
7.7388,-5.073667,CI,1230,0,N
6.792808,-6.473189,CI,823,0,N
9.387183,-5.556664,CI,1214,0,N
7.272069,-7.587364,CI,1089,0,N
4.746717,-6.660817,CI,26,0,N
6.903167,-5.365581,CI,699,0,N
9.006792,7.263172,NG,1123,1,N
7.246739,5.301008,NG,1100,1,N
6.316981,5.599503,NG,258,1,N
4.976019,8.347197,NG,210,1,N
6.474272,7.561961,NG,466,1,N
12.171667,6.696111,NG,1520,1,N
7.362458,3.978333,NG,725,1,N
8.440211,4.493919,NG,1126,1,N
9.639828,8.86905,NG,4232,1,N
10.696025,7.320114,NG,2073,1,N
12.047589,8.524622,NG,1562,1,N
11.855347,13.08095,NG,1099,1,N
7.703883,8.613939,NG,371,1,N
6.577369,3.321156,NG,135,1,N
9.652172,6.462256,NG,834,1,N
5.015494,6.949594,NG,87,1,N
12.916322,5.207189,NG,1010,1,N
9.257553,12.430422,NG,599,1,N
11.130192,7.685806,NG,2170,1,N
13.502531,7.126753,NE,1240,1,N
13.481547,2.183614,NE,732,1,N
14.875658,5.265358,NE,1266,1,N
16.965997,8.000114,NE,1657,1,N
18.968703,12.86865,NE,1273,1,N
13.372894,12.626686,NE,994,1,N
13.778997,8.983761,NE,1516,1,N
35.758056,10.754722,TN,9,1,E
36.851033,10.227217,TN,22,1,E
37.245447,9.791453,TN,20,1,E
32.306156,10.382108,TN,1004,1,E
34.422022,8.822503,TN,1060,1,E
33.876919,10.103333,TN,26,1,E
36.721339,9.943147,TN,108,1,E
33.875031,10.775461,TN,19,1,E
31.704281,9.254619,TN,827,1,E
34.717953,10.690972,TN,85,1,E
33.939722,8.110556,TN,287,1,E
9.767333,1.09125,TG,1515,0,N
6.165611,1.254511,TG,72,0,N
51.189444,4.460278,BE,39,1,E
50.75861,4.768333,BE,370,1,E
51.168333,5.47,BE,200,1,E
50.901389,4.484444,BE,184,1,E
49.891667,5.223889,BE,1514,1,E
50.459197,4.453817,BE,614,1,E
50.575833,3.831,BE,193,1,E
51.090278,2.652778,BE,20,1,E
50.243333,4.645833,BE,935,1,E
50.817222,3.204722,BE,64,1,E
50.637417,5.443222,BE,659,1,E
51.198889,2.862222,BE,13,1,E
50.9475,5.590556,BE,312,1,E
50.791944,5.201667,BE,246,1,E
50.035833,5.404167,BE,1930,1,E
51.144133,3.474361,BE,95,1,E
51.394783,4.960194,BE,105,1,E
51.264722,4.753333,BE,53,1,E
51.193531,14.519747,DE,568,1,E
50.981817,12.506361,DE,640,1,E
51.831828,12.184033,DE,187,1,E
52.197333,14.585667,DE,149,1,E
39.6335556,-86.8138056,US,842,-5,U
51.308111,13.554973,DE,417,1,E
51.363,11.940833,DE,340,1,E
51.552,12.052667,DE,347,1,E
51.2935,13.356,DE,322,1,E
53.306417,12.753139,DE,220,1,E
52.579978,13.915683,DE,263,1,E
52.203258,13.158408,DE,131,1,E
54.33754,12.699705,DE,23,1,E
50.915161,11.714519,DE,1228,1,E
52.918833,12.425333,DE,130,1,E
52.073658,11.626467,DE,268,1,E
51.363167,14.95,DE,517,1,E
53.8327,13.669131,DE,18,1,E
51.889475,14.531986,DE,274,1,E
